title_number,title_text,chapter_number,chapter_text,offense_section,offense_text,section_number,section_text,subsection_number,subsection_text
11,Cities,131,Bridges,13114,Recording of contract,13114,Recording of contract,NA,NA
11,Cities,131,Bridges,13115,Power to construct boundary bridges,13115,Power to construct boundary bridges,NA,NA
11,Cities,131,Bridges,13135,Acquisition of existing bridges,13135,Acquisition of existing bridges,NA,NA
11,Cities,132,Sanitary Sewers,13201,"Construction of sanitary sewers, cost and eminent domain",13201,"Construction of sanitary sewers, cost and eminent domain",NA,NA
11,Cities,132,Sanitary Sewers,13201.1,Required connection and fees,13201,"Construction of sanitary sewers, cost and eminent domain",1,Required connection and fees
11,Cities,132,Sanitary Sewers,13206,Construction of sanitary sewage treatment works,13206,Construction of sanitary sewage treatment works,NA,NA
11,Cities,132,Sanitary Sewers,13213.1,Rental fees or charges,13213,Construction of sanitary sewage treatment works,1,Rental fees or charges
11,Cities,132,Sanitary Sewers,13222.1,Acquisition of existing sanitary sewer systems,13222,Construction of sanitary sewage treatment works,1,Acquisition of existing sanitary sewer systems
11,Cities,132,Sanitary Sewers,13230,Sewers outside cartway and curb lines,13230,Sewers outside cartway and curb lines,NA,NA
11,Cities,132,Sanitary Sewers,13240,Building joint sewers,13240,Building joint sewers,NA,NA
11,Cities,132,Sanitary Sewers,13241,Approval of Department of Environmental Protection,13241,Approval of Department of Environmental Protection,NA,NA
11,Cities,132,Sanitary Sewers,13245.1,Connection to existing municipal sanitary sewer,13245,Approval of Department of Environmental Protection,1,Connection to existing municipal sanitary sewer
11,Cities,132,Sanitary Sewers,13250,Sewers extended outside of city,13250,Sewers extended outside of city,NA,NA
11,Cities,134,"Watercourses, Flood Protection Projects and Storm Water Systems",13401,"Establishing and changing watercourses, flood protection projects and storm water",13401,"Establishing and changing watercourses, flood protection projects and storm water",NA,NA
11,Cities,134,"Watercourses, Flood Protection Projects and Storm Water Systems",13407,Assessment of benefits and liens,13407,Assessment of benefits and liens,NA,NA
11,Cities,134,"Watercourses, Flood Protection Projects and Storm Water Systems",13408,Waters excepted,13408,Waters excepted,NA,NA
11,Cities,135,Utility Service,13501.1,"Right to furnish water, lighting, electric, gas or other similar utility service",13501,Waters excepted,1,"Right to furnish water, lighting, electric, gas or other similar utility service"
11,Cities,135,Utility Service,13540.1,Power to furnish utilities to consumers outside city,13540,Waters excepted,1,Power to furnish utilities to consumers outside city
11,Cities,135,Utility Service,13585,Payment of cost of extensions,13585,Payment of cost of extensions,NA,NA
11,Cities,135,Utility Service,13587,Fixing rates,13587,Fixing rates,NA,NA
11,Cities,135,Utility Service,13588,Collection of utility charges,13588,Collection of utility charges,NA,NA
11,Cities,135,Utility Service,13590,Disposition of revenues,13590,Disposition of revenues,NA,NA
11,Cities,136,Public Buildings and Works,13601,Public buildings generally,13601,Public buildings generally,NA,NA
11,Cities,136,Public Buildings and Works,13603,Payment of erection and maintenance costs,13603,Payment of erection and maintenance costs,NA,NA
11,Cities,136,Public Buildings and Works,13605,Donation of land by city for library purposes and contributions toward maintenance,13605,Donation of land by city for library purposes and contributions toward maintenance,NA,NA
11,Cities,136,Public Buildings and Works,13606,Rental of public auditorium and disposition of proceeds,13606,Rental of public auditorium and disposition of proceeds,NA,NA
11,Cities,136,Public Buildings and Works,13607,Long-term improvement lease,13607,Long-term improvement lease,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13703,Acquisition of lands and buildings,13703,Acquisition of lands and buildings,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13703.1,Powers of council and delegation,13703,Acquisition of lands and buildings,1,Powers of council and delegation
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13705,Creation and composition of recreation board,13705,Creation and composition of recreation board,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13706,Organization of board,13706,Organization of board,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13707,Joint ownership and maintenance,13707,Joint ownership and maintenance,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13708,Borrowing,13708,Borrowing,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13709,Maintenance and tax levy,13709,Maintenance and tax levy,NA,NA
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13709.1,City trust,13709,Maintenance and tax levy,1,City trust
11,Cities,137,"Parks, Playgrounds and Recreation Centers",13718,Park rangers,13718,Park rangers,NA,NA
11,Cities,142,Aeronautics,14201,Power to acquire land for aeronautical purposes and maintenance of municipal airports,14201,Power to acquire land for aeronautical purposes and maintenance of municipal airports,NA,NA
11,Cities,142,Aeronautics,14203,Leasing of land acquired for aeronautical purposes,14203,Leasing of land acquired for aeronautical purposes,NA,NA
11,Cities,142,Aeronautics,14204,Operation of facilities jointly,14204,Operation of facilities jointly,NA,NA
11,Cities,142,Aeronautics,14205,Appropriation for support of air navigation facilities,14205,Appropriation for support of air navigation facilities,NA,NA
11,Cities,143,Pensions,14300,Definitions,14300,Definitions,NA,NA
11,Cities,143,Pensions,14301,Police pension fund,14301,Police pension fund,NA,NA
11,Cities,143,Pensions,14302,Retirement and final discharge,14302,Retirement and final discharge,NA,NA
11,Cities,143,Pensions,14302.1,Limited vested benefit,14302,Retirement and final discharge,1,Limited vested benefit
11,Cities,143,Pensions,14303,Allowance and service increments,14303,Allowance and service increments,NA,NA
11,Cities,143,Pensions,14303.1,Increase of allowances after retirement,14303,Allowance and service increments,1,Increase of allowances after retirement
11,Cities,143,Pensions,14303.2,Total disability,14303,Allowance and service increments,2,Total disability
11,Cities,143,Pensions,14304,Inalienable rights in fund,14304,Inalienable rights in fund,NA,NA
11,Cities,143,Pensions,14305,Payments to police pension fund by city,14305,Payments to police pension fund by city,NA,NA
11,Cities,143,Pensions,14306,Management of police pension fund,14306,Management of police pension fund,NA,NA
11,Cities,143,Pensions,14307,Trust for benefit of police pension fund,14307,Trust for benefit of police pension fund,NA,NA
11,Cities,143,Pensions,14308,Repayment before retirement,14308,Repayment before retirement,NA,NA
11,Cities,143,Pensions,14309,(Reserved),14309,(Reserved),NA,NA
11,Cities,143,Pensions,14319,Definitions,14319,Definitions,NA,NA
11,Cities,143,Pensions,14320,"Firefighters pension fund, management and annuity contracts",14320,"Firefighters pension fund, management and annuity contracts",NA,NA
11,Cities,143,Pensions,14320.1,Limited vested benefit for firefighters,14320,"Firefighters pension fund, management and annuity contracts",1,Limited vested benefit for firefighters
11,Cities,143,Pensions,14321,Retirement and final discharge,14321,Retirement and final discharge,NA,NA
11,Cities,143,Pensions,14322,Pensions and service increments,14322,Pensions and service increments,NA,NA
11,Cities,143,Pensions,14322.1,Increase of allowances after retirement,14322,Pensions and service increments,1,Increase of allowances after retirement
11,Cities,143,Pensions,14323,Causes for forfeiture of rights in fund and other employments,14323,Causes for forfeiture of rights in fund and other employments,NA,NA
11,Cities,143,Pensions,14324,Payments to firefighters pension fund by city,14324,Payments to firefighters pension fund by city,NA,NA
11,Cities,143,Pensions,14325,Transfers from other pension funds,14325,Transfers from other pension funds,NA,NA
11,Cities,143,Pensions,14326,Trusts for benefit of firefighters pension fund,14326,Trusts for benefit of firefighters pension fund,NA,NA
11,Cities,143,Pensions,14327,Repayment before retirement,14327,Repayment before retirement,NA,NA
11,Cities,143,Pensions,14328,(Reserved),14328,(Reserved),NA,NA
11,Cities,143,Pensions,14339,Definitions,14339,Definitions,NA,NA
11,Cities,143,Pensions,14340,Pension for employees other than police or city-paid firefighters,14340,Pension for employees other than police or city-paid firefighters,NA,NA
11,Cities,143,Pensions,14341,Pension board and duties,14341,Pension board and duties,NA,NA
11,Cities,143,Pensions,14342,Retirement age,14342,Retirement age,NA,NA
11,Cities,143,Pensions,14343,"Retirement allowance, proof of disability and joint and single coverage members defined",14343,"Retirement allowance, proof of disability and joint and single coverage members defined",NA,NA
11,Cities,143,Pensions,14343.1,"Retirement allowances, full coverage and payments",14343,"Retirement allowance, proof of disability and joint and single coverage members defined",1,"Retirement allowances, full coverage and payments"
11,Cities,143,Pensions,14343.2,Limited vested benefit,14343,"Retirement allowance, proof of disability and joint and single coverage members defined",2,Limited vested benefit
11,Cities,143,Pensions,14344,Amount of payments into fund and repayment before retirement,14344,Amount of payments into fund and repayment before retirement,NA,NA
11,Cities,143,Pensions,14344.1,Determination of liability upon extension of Social Security,14344,Amount of payments into fund and repayment before retirement,1,Determination of liability upon extension of Social Security
11,Cities,143,Pensions,14345,Payments by laborers optional,14345,Payments by laborers optional,NA,NA
11,Cities,143,Pensions,14346,Heads of departments to certify list of employees,14346,Heads of departments to certify list of employees,NA,NA
11,Cities,143,Pensions,14347,"Receipt, investment and payment of funds",14347,"Receipt, investment and payment of funds",NA,NA
11,Cities,143,Pensions,14348,Appropriations and contributions to fund,14348,Appropriations and contributions to fund,NA,NA
11,Cities,143,Pensions,14349,Application,14349,Application,NA,NA
11,Cities,143,Pensions,14350,Computation of time of service,14350,Computation of time of service,NA,NA
11,Cities,143,Pensions,14351,Funds payable to be free of attachment,14351,Funds payable to be free of attachment,NA,NA
11,Cities,143,Pensions,14352,(Reserved),14352,(Reserved),NA,NA
11,Cities,143,Pensions,14353,Beneficiaries of fund not to be employed by city,14353,Beneficiaries of fund not to be employed by city,NA,NA
11,Cities,143,Pensions,14361,Right to a pension if salary refused,14361,Right to a pension if salary refused,NA,NA
11,Cities,144,Civil Service,14401,Examinations required of all appointees,14401,Examinations required of all appointees,NA,NA
11,Cities,144,Civil Service,14402,Appointment of civil service board,14402,Appointment of civil service board,NA,NA
11,Cities,144,Civil Service,14402.1,Existing civil service positions,14402,Appointment of civil service board,1,Existing civil service positions
11,Cities,144,Civil Service,14403,Civil service board and quorum,14403,Civil service board and quorum,NA,NA
11,Cities,144,Civil Service,14403.1,Alternate board members,14403,Civil service board and quorum,1,Alternate board members
11,Cities,144,Civil Service,14403.2,Investigations and subpoenas,14403,Civil service board and quorum,2,Investigations and subpoenas
11,Cities,144,Civil Service,14404,"Rules, regulations and examinations",14404,"Rules, regulations and examinations",NA,NA
11,Cities,144,Civil Service,14404.1,Physical and psychological medical examinations,14404,"Rules, regulations and examinations",1,Physical and psychological medical examinations
11,Cities,144,Civil Service,14405.1,Veterans' preference,14405,"Rules, regulations and examinations",1,Veterans' preference
11,Cities,144,Civil Service,14406,Selection of appointee from certified list of applicants,14406,Selection of appointee from certified list of applicants,NA,NA
11,Cities,144,Civil Service,14406.1,Promotions,14406,Selection of appointee from certified list of applicants,1,Promotions
11,Cities,144,Civil Service,14407,Tenure and temporary appointments,14407,Tenure and temporary appointments,NA,NA
11,Cities,144,Civil Service,14408,"Suspension, discharge and discipline, reduction of employees and appeals",14408,"Suspension, discharge and discipline, reduction of employees and appeals",NA,NA
11,Cities,144,Civil Service,14409,Secretary and compensation,14409,Secretary and compensation,NA,NA
11,Cities,144,Civil Service,14410,Review of eligibility lists,14410,Review of eligibility lists,NA,NA
11,Cities,146,Collection of Municipal Claims and Compromise of Claims,14601,Collection of municipal claims,14601,Collection of municipal claims,NA,NA
11,Cities,146,Collection of Municipal Claims and Compromise of Claims,14602,Compromise of municipal claims,14602,Compromise of municipal claims,NA,NA
11,Cities,147,Miscellaneous Provisions,14701,Intent,14701,Intent,NA,NA
11,Cities,147,Miscellaneous Provisions,14702,Construction of part,14702,Construction of part,NA,NA
12,Commerce And Trade,1,Preliminary Provisions,101,Definitions,101,Definitions,NA,NA
12,Commerce And Trade,3,Economic Development Financing Strategy,301,Scope,301,Scope,NA,NA
12,Commerce And Trade,3,Economic Development Financing Strategy,302,Definitions,302,Definitions,NA,NA
12,Commerce And Trade,3,Economic Development Financing Strategy,303,Development,303,Development,NA,NA
12,Commerce And Trade,3,Economic Development Financing Strategy,304,Oversight,304,Oversight,NA,NA
12,Commerce And Trade,4,Pennsylvania Military Community Enhancement Commission,401,Definitions,401,Definitions,NA,NA
12,Commerce And Trade,4,Pennsylvania Military Community Enhancement Commission,402,Establishment and membership,402,Establishment and membership,NA,NA
12,Commerce And Trade,4,Pennsylvania Military Community Enhancement Commission,403,Powers and duties,403,Powers and duties,NA,NA
12,Commerce And Trade,4,Pennsylvania Military Community Enhancement Commission,404,Administrative assistance,404,Administrative assistance,NA,NA
12,Commerce And Trade,4,Pennsylvania Military Community Enhancement Commission,405,Report,405,Report,NA,NA
12,Commerce And Trade,5,Small Business Council,501,Scope,501,Scope,NA,NA
12,Commerce And Trade,5,Small Business Council,502,Definitions,502,Definitions,NA,NA
12,Commerce And Trade,5,Small Business Council,503,Small Business Council,503,Small Business Council,NA,NA
12,Commerce And Trade,5,Small Business Council,504,Regulatory review,504,Regulatory review,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2101,Scope,2101,Scope,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2102,Definitions,2102,Definitions,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2103,Establishment,2103,Establishment,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2104,Application,2104,Application,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2105,Review,2105,Review,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2106,Approval,2106,Approval,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2107,Penalty,2107,Penalty,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2108,Limitations,2108,Limitations,NA,NA
12,Commerce And Trade,21,Opportunity Grants,2109,Guidelines,2109,Guidelines,NA,NA
12,Commerce And Trade,23,Small Business First,2301,Scope,2301,Scope,NA,NA
12,Commerce And Trade,23,Small Business First,2302,Definitions,2302,Definitions,NA,NA
12,Commerce And Trade,23,Small Business First,2303,Establishment,2303,Establishment,NA,NA
12,Commerce And Trade,23,Small Business First,2304,Fund and accounts,2304,Fund and accounts,NA,NA
12,Commerce And Trade,23,Small Business First,2305,Authority responsibilities,2305,Authority responsibilities,NA,NA
12,Commerce And Trade,23,Small Business First,2306,Capital development loans,2306,Capital development loans,NA,NA
12,Commerce And Trade,23,Small Business First,2307,EDA loans,2307,EDA loans,NA,NA
12,Commerce And Trade,23,Small Business First,2308,Loans in distressed communities,2308,Loans in distressed communities,NA,NA
12,Commerce And Trade,23,Small Business First,2309,Pollution prevention assistance loans,2309,Pollution prevention assistance loans,NA,NA
12,Commerce And Trade,23,Small Business First,2310,Export financing loans,2310,Export financing loans,NA,NA
12,Commerce And Trade,23,Small Business First,2310.1,Delegation,2310,Export financing loans,1,Delegation
12,Commerce And Trade,23,Small Business First,2311,Reporting and inspection,2311,Reporting and inspection,NA,NA
12,Commerce And Trade,23,Small Business First,2312,Limitations,2312,Limitations,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2901,Scope,2901,Scope,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2902,Definitions,2902,Definitions,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2903,Establishment,2903,Establishment,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2904,Machinery and Equipment Loan Fund,2904,Machinery and Equipment Loan Fund,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2905,Eligibility for loans; terms and conditions,2905,Eligibility for loans; terms and conditions,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2906,Application and administration,2906,Application and administration,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2907,Powers of authority,2907,Powers of authority,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2908,Reporting and inspection,2908,Reporting and inspection,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2909,Nondiscrimination (Deleted by amendment),2909,Nondiscrimination (Deleted by amendment),NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2910,Conflict of interest (Deleted by amendment),2910,Conflict of interest (Deleted by amendment),NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2911,Reports to General Assembly,2911,Reports to General Assembly,NA,NA
12,Commerce And Trade,29,Machinery and Equipment Loans,2912,Guidelines,2912,Guidelines,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3001,Scope of chapter,3001,Scope of chapter,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3002,Definitions,3002,Definitions,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3003,Establishment,3003,Establishment,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3004,Industrial Development Fund (Reserved),3004,Industrial Development Fund (Reserved),NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3005,Application,3005,Application,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3006,Loans for industrial development projects,3006,Loans for industrial development projects,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3007,Loans for industrial parks,3007,Loans for industrial parks,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3008,Loans for multiple-tenancy building projects,3008,Loans for multiple-tenancy building projects,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3009,Reporting and inspection,3009,Reporting and inspection,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3010,Limitations,3010,Limitations,NA,NA
12,Commerce And Trade,30,Pennsylvania Industrial Development Program,3011,Job creation,3011,Job creation,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3401,Scope of chapter,3401,Scope of chapter,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3402,Definitions,3402,Definitions,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3403,Establishment,3403,Establishment,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3404,Application,3404,Application,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3405,Review,3405,Review,NA,NA
12,Commerce And Trade,34,Infrastructure and Facilities Improvement Program,3406,Approval,3406,Approval,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3901,Scope of chapter,3901,Scope of chapter,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3902,Definitions,3902,Definitions,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3903,Establishment,3903,Establishment,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3904,Award of grants,3904,Award of grants,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3905,Award and administration of loans,3905,Award and administration of loans,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3906,Funds,3906,Funds,NA,NA
12,Commerce And Trade,39,Water Supply and Wastewater Infrastructure Capitalization,3907,Commonwealth indebtedness,3907,Commonwealth indebtedness,NA,NA
12,Commerce And Trade,41,Film Production Grants,4101,Scope of chapter,4101,Scope of chapter,NA,NA
12,Commerce And Trade,41,Film Production Grants,4102,Definitions,4102,Definitions,NA,NA
12,Commerce And Trade,41,Film Production Grants,4103,Establishment,4103,Establishment,NA,NA
12,Commerce And Trade,41,Film Production Grants,4104,Application,4104,Application,NA,NA
12,Commerce And Trade,41,Film Production Grants,4105,Review,4105,Review,NA,NA
12,Commerce And Trade,41,Film Production Grants,4106,Approval,4106,Approval,NA,NA
12,Commerce And Trade,41,Film Production Grants,4107,Penalty,4107,Penalty,NA,NA
12,Commerce And Trade,41,Film Production Grants,4108,Limitations,4108,Limitations,NA,NA
12,Commerce And Trade,41,Film Production Grants,4109,Guidelines,4109,Guidelines,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4301,Purpose,4301,Purpose,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4302,Definitions,4302,Definitions,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4303,Establishment of a program,4303,Establishment of a program,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4304,Notice to lien holder required for participation,4304,Notice to lien holder required for participation,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4305,Scope of work,4305,Scope of work,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4306,Notice,4306,Notice,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4307,Lien,4307,Lien,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4308,Collection of assessments,4308,Collection of assessments,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4309,Bonds,4309,Bonds,NA,NA
12,Commerce And Trade,43,Property Assessed Clean Energy Program,4310,Joint implementation,4310,Joint implementation,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5101,Short title of chapter and definitions,5101,Short title of chapter and definitions,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5102,Insolvency,5102,Insolvency,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5103,Value,5103,Value,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5104,Transfer or obligation voidable as to present or future creditor,5104,Transfer or obligation voidable as to present or future creditor,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5105,Transfer or obligation voidable as to present creditor,5105,Transfer or obligation voidable as to present creditor,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5106,When transfer is made or obligation is incurred,5106,When transfer is made or obligation is incurred,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5107,Remedies of creditor,5107,Remedies of creditor,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5108,"Defenses, liability and protection of transferee or obligee",5108,"Defenses, liability and protection of transferee or obligee",NA,NA
12,Commerce And Trade,51,Voidable Transactions,5109,Extinguishment of claim for relief,5109,Extinguishment of claim for relief,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5110,Governing law,5110,Governing law,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5111,Application to series organization,5111,Application to series organization,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5112,Supplementary provisions,5112,Supplementary provisions,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5113,Uniformity of application and construction,5113,Uniformity of application and construction,NA,NA
12,Commerce And Trade,51,Voidable Transactions,5114,Relation to Electronic Signatures in Global and National Commerce Act,5114,Relation to Electronic Signatures in Global and National Commerce Act,NA,NA
12,Commerce And Trade,53,Trade Secrets,5301,Short title of chapter,5301,Short title of chapter,NA,NA
12,Commerce And Trade,53,Trade Secrets,5302,Definitions,5302,Definitions,NA,NA
12,Commerce And Trade,53,Trade Secrets,5303,Injunctive relief,5303,Injunctive relief,NA,NA
12,Commerce And Trade,53,Trade Secrets,5304,Damages,5304,Damages,NA,NA
12,Commerce And Trade,53,Trade Secrets,5305,Attorney fees,5305,Attorney fees,NA,NA
12,Commerce And Trade,53,Trade Secrets,5306,Preservation of secrecy,5306,Preservation of secrecy,NA,NA
12,Commerce And Trade,53,Trade Secrets,5307,Statute of limitations,5307,Statute of limitations,NA,NA
12,Commerce And Trade,53,Trade Secrets,5308,Effect on other law,5308,Effect on other law,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5501,Scope of chapter,5501,Scope of chapter,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5502,Definitions,5502,Definitions,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5503,Services to legitimate cannabis-related businesses,5503,Services to legitimate cannabis-related businesses,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5504,"Protections for financial institutions, insurers, legitimate cannabis-related businesses",5504,"Protections for financial institutions, insurers, legitimate cannabis-related businesses",NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5505,Access to information,5505,Access to information,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5506,Required disclosures,5506,Required disclosures,NA,NA
12,Commerce And Trade,55,Legitimate Cannabis-related Business,5507,Regulations and statements of policy,5507,Regulations and statements of policy,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5701,Legislative intent,5701,Legislative intent,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5702,Definitions,5702,Definitions,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5703,Savings promotion program,5703,Savings promotion program,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5704,Compliance with Federal regulations,5704,Compliance with Federal regulations,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5705,Qualified financial program,5705,Qualified financial program,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5706,Terms and conditions,5706,Terms and conditions,NA,NA
12,Commerce And Trade,57,Incentive-based Savings Program,5707,Maintenance of books and records,5707,Maintenance of books and records,NA,NA
12,Commerce And Trade,61,General Provisions,6101,Scope of part,6101,Scope of part,NA,NA
12,Commerce And Trade,61,General Provisions,6102,Definitions,6102,Definitions,NA,NA
12,Commerce And Trade,61,General Provisions,6103,Contracts and agreements,6103,Contracts and agreements,NA,NA
12,Commerce And Trade,61,General Provisions,6104,Electronic transactions,6104,Electronic transactions,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6201,Scope of chapter,6201,Scope of chapter,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6202,Definitions,6202,Definitions,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6203,Authority of department,6203,Authority of department,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6204,Records,6204,Records,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6205,Appeals,6205,Appeals,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6206,Deposit of fees and fines,6206,Deposit of fees and fines,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6207,Distribution of information,6207,Distribution of information,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6208,Venue,6208,Venue,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6209,Applicability,6209,Applicability,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6210,Consumer complaints,6210,Consumer complaints,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6211,General license rules,6211,General license rules,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6212,Initial license application,6212,Initial license application,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6213,Bond,6213,Bond,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6214,License fees,6214,License fees,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6215,License certificate,6215,License certificate,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6216,License renewal,6216,License renewal,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6217,Refusal to issue license or license renewal,6217,Refusal to issue license or license renewal,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6218,Revocation or suspension of license,6218,Revocation or suspension of license,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6219,Multiple places of business,6219,Multiple places of business,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6221,Requirements,6221,Requirements,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6222,Contents,6222,Contents,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6223,Notice,6223,Notice,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6224,Itemization,6224,Itemization,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6225,Disclosure,6225,Disclosure,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6226,Heavy commercial motor vehicle,6226,Heavy commercial motor vehicle,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6227,Manufactured homes,6227,Manufactured homes,NA,NA
12,Commerce And Trade,62,Motor Vehicle Sales Finance,6228,Prohibited provisions,6228,Prohibited provisions,NA,NA
